Invoice number,5655970117,
Invoice date,2026-07-31,
Due date,2026-08-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.8753,
Total amount due,€277.36,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Artifact Registry,149C-F9EC-3994,Artifact Registry Storage,8502-299A-ABAF,Default,,Usage,2026-07-01,2026-07-30,7.605,gibibyte month,0.657571,0.66
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input Caching,36F0-C9BF-CBB8,Default,,Usage,2026-07-01,2026-07-17,"4,931,247",count,0.647356,0.65
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Secret Manager,EE82-7A5E-871C,Secret version replica storage,7756-ADEF-84F4,Default,,Usage,2026-07-01,2026-07-30,10.645,month,0.446864,0.45
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Input Caching,8308-9CED-8950,Default,,Usage,2026-07-01,2026-07-17,"1,378,336",count,0.241240,0.24
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input - Predictions,07A6-7CDB-0AF5,Default,,Usage,2026-07-01,2026-07-17,"128,426",count,0.168562,0.17
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress Europe to Europe,B202-CE74-F2F2,Default,,Usage,2026-07-01,2026-07-21,0.979,gibibyte,0.089957,0.09
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Artifact Registry,149C-F9EC-3994,Artifact Registry Network Internet Egress Europe to Europe,B202-CE74-F2F2,Default,,Usage,2026-07-01,2026-07-22,0.979,gibibyte,0.089950,0.09
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Jobs Memory in europe-west1,56BC-892D-86F5,Default,,Usage,2026-07-01,2026-07-31,"50,150.335",gibibyte second,0.087730,0.09
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Scheduler,1F14-4801-0E16,Jobs,A5D6-43A2-28A7,Default,,Usage,2026-07-01,2026-07-31,124,count,0.087528,0.09
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Request-based billing),4856-B847-F1EB,Default,,Usage,2026-07-01,2026-07-23,"1,585.512",second,0.033275,0.03
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run Network Data Transfer Out via Carrier Peering Network - Europe Based,1EA7-1C33-8290,Default,,Usage,2026-07-01,2026-07-31,0.944,gibibyte,0.015335,0.02
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Image Input Caching,38BC-34A5-DF4E,Default,,Usage,2026-07-01,2026-07-17,"107,446",count,0.014078,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out Europe to Europe,0C22-3157-F0C9,Default,,Usage,2026-07-01,2026-07-23,0.112,gibibyte,0.010231,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run Network Internet Data Transfer Out Europe to Europe,0C22-3157-F0C9,Default,,Usage,2026-07-01,2026-07-31,0.036,gibibyte,0.002560,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Request-based billing),02A2-9231-36A6,Default,,Usage,2026-07-01,2026-07-23,923.15,gibibyte second,0.001983,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,Default,,Usage,2026-07-01,2026-07-30,11.623,mebibyte,0.000495,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run GOOGLE-API Data Transfer Out,0CCB-7057-48DE,Default,,Usage,2026-07-01,2026-07-17,0.018,gibibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Logging,5490-F7B7-8DF6,Log Storage cost,143F-A1B0-E0BE,Default,,Usage,2026-07-01,2026-07-31,0.067,gibibyte,0.000000,0.00
